"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6628","User authentication with valid data","firefox","Mon Mar 17 08:37:29 UTC 2025","passed","Mon Mar 17 08:37:35 UTC 2025","","TC01LoginTest.spec.ts","",""
"","7684","Logout","firefox","Mon Mar 17 08:37:39 UTC 2025","passed","Mon Mar 17 08:37:47 UTC 2025","","TC03LogoutTest.spec.ts","",""
"","8009","User authentication with invalid data","chromium","Mon Mar 17 08:36:46 UTC 2025","passed","Mon Mar 17 08:36:54 UTC 2025","","TC02InvalidLoginTest.spec.ts","",""
"","13465","Verify Search Functionality with Random Topics","chromium","Mon Mar 17 08:37:15 UTC 2025","passed","Mon Mar 17 08:37:28 UTC 2025","","TC05SearchTest.spec.ts","",""
"","17094","All Menu Elements are displayed and loading","webkit","Mon Mar 17 08:38:37 UTC 2025","passed","Mon Mar 17 08:38:54 UTC 2025","","TC04MenuTest.spec.ts","",""
"","9295","User authentication with invalid data","webkit","Mon Mar 17 08:38:24 UTC 2025","passed","Mon Mar 17 08:38:33 UTC 2025","","TC02InvalidLoginTest.spec.ts","",""
"","4495","Logout","webkit","Mon Mar 17 08:38:33 UTC 2025","passed","Mon Mar 17 08:38:37 UTC 2025","","TC03LogoutTest.spec.ts","",""
"","14719","All Menu Elements are displayed and loading","chromium","Mon Mar 17 08:37:00 UTC 2025","passed","Mon Mar 17 08:37:15 UTC 2025","","TC04MenuTest.spec.ts","",""
"","12710","All Menu Elements are displayed and loading","firefox","Mon Mar 17 08:37:47 UTC 2025","passed","Mon Mar 17 08:38:00 UTC 2025","","TC04MenuTest.spec.ts","",""
"","4068","User authentication with invalid data","firefox","Mon Mar 17 08:37:35 UTC 2025","passed","Mon Mar 17 08:37:39 UTC 2025","","TC02InvalidLoginTest.spec.ts","",""
"","6175","Logout","chromium","Mon Mar 17 08:36:54 UTC 2025","passed","Mon Mar 17 08:37:00 UTC 2025","","TC03LogoutTest.spec.ts","",""
"","5812","User authentication with valid data","chromium","Mon Mar 17 08:36:40 UTC 2025","passed","Mon Mar 17 08:36:46 UTC 2025","","TC01LoginTest.spec.ts","",""
"","16519","Verify Search Functionality with Random Topics","firefox","Mon Mar 17 08:38:00 UTC 2025","passed","Mon Mar 17 08:38:16 UTC 2025","","TC05SearchTest.spec.ts","",""
"","21347","Verify Search Functionality with Random Topics","webkit","Mon Mar 17 08:38:54 UTC 2025","passed","Mon Mar 17 08:39:16 UTC 2025","","TC05SearchTest.spec.ts","",""
"","5986","User authentication with valid data","webkit","Mon Mar 17 08:38:18 UTC 2025","passed","Mon Mar 17 08:38:24 UTC 2025","","TC01LoginTest.spec.ts","",""
